epoch,binary_crossentropy,dice_coef,iou_score,loss,lr,pixel_accuracy,sensitivity,specificity,val_binary_crossentropy,val_dice_coef,val_iou_score,val_loss,val_pixel_accuracy,val_sensitivity,val_specificity
0,1.3300715684890747,0.0283175278455019,0.014376521110534668,0.680298388004303,1e-04,0.6615864038467407,0.875576913356781,0.6600693464279175,0.2948542535305023,0.014768910594284534,0.007439630571752787,0.6909183263778687,0.9926048517227173,2.5912658130344823e-10,1.0
1,1.2806607484817505,0.04405343532562256,0.02252846024930477,0.6692078113555908,1e-04,0.8583178520202637,0.9106998443603516,0.8579409718513489,0.23603589832782745,0.020761284977197647,0.010490501299500465,0.6866332292556763,0.9873853325843811,0.0742773562669754,0.9941008687019348
2,1.0899146795272827,0.05215957760810852,0.026783829554915428,0.6635735034942627,1e-04,0.9016323089599609,0.8889514207839966,0.9017220139503479,0.4051305055618286,0.050865329802036285,0.02610403671860695,0.6659393310546875,0.9514604210853577,0.49030807614326477,0.9548952579498291
3,0.996446967124939,0.06034502759575844,0.031116247177124023,0.6579168438911438,1e-04,0.9171286225318909,0.8824144601821899,0.9173824191093445,0.6462141871452332,0.052556026726961136,0.026989424601197243,0.6636984348297119,0.9307506680488586,0.6477289795875549,0.9328801035881042
4,0.9272299408912659,0.06683491170406342,0.034583281725645065,0.6533544063568115,1e-04,0.926384687423706,0.8778452277183533,0.9267292022705078,0.5798202157020569,0.07027316838502884,0.03642069548368454,0.6515823602676392,0.9438209533691406,0.7733675837516785,0.9451066851615906
5,0.8742914199829102,0.07292626798152924,0.037853773683309555,0.6491549015045166,1e-04,0.9325031638145447,0.8745500445365906,0.9329112768173218,0.9881559610366821,0.07723144441843033,0.04017505422234535,0.6463338732719421,0.9275891780853271,0.9223528504371643,0.9276250600814819
6,0.8354061841964722,0.0791550949215889,0.04121789708733559,0.6448277235031128,1e-04,0.9371251463890076,0.8728267550468445,0.9375810623168945,0.7926278114318848,0.08424843847751617,0.04398982599377632,0.6422058939933777,0.938970685005188,0.8287906646728516,0.939782440662384
7,0.8025832772254944,0.08567672967910767,0.044767338782548904,0.6403049826622009,1e-04,0.9401141405105591,0.8655325174331665,0.9406409859657288,1.0119258165359497,0.09324561059474945,0.048916418105363846,0.6355322003364563,0.9358291625976562,0.896196186542511,0.9361088275909424
8,0.7482436895370483,0.09400451183319092,0.04933573305606842,0.6345590949058533,1e-04,0.9457905888557434,0.8508846759796143,0.9464662671089172,0.9088460803031921,0.10580834001302719,0.05587898939847946,0.6272306442260742,0.9431570768356323,0.8705002665519714,0.9436973333358765
9,0.7273513674736023,0.09986741095781326,0.05257975310087204,0.630412757396698,1e-04,0.9471766948699951,0.8443185091018677,0.9479021430015564,0.9507021903991699,0.10517974197864532,0.05558159574866295,0.6241416335105896,0.9460312128067017,0.8590743541717529,0.9465922117233276
